NAME,ContractType,lat,lng,City,Address,Province,Description,PropertyType,Price,LastUpdated
RE/MAX HALLMARK YORK GROUP REALTY LTD.,For lease,44.00648,-79.450396,Aurora,#1A - 14 WELLINGTON ST E Aurora Ontario L4G1H5 Canada,Ontario,Prime Downtown Core Retail Busy Location * Great Exposure/Visibility * Good Parking   Next To Td Canada Trust * Ceramic Flooring ** Move-In Ready * Great Small Business Opportunity * $1786.67 Per Month Gross Including Tmi * Plus Metered Utilities*,Office,1000,2016/6/20 20:55
RE/MAX HALLMARK YORK GROUP REALTY LTD.,For lease,44.059187,-79.461256,Newmarket,#201 - 30 PROSPECT ST Newmarket Ontario L3Y3S9 Canada,Ontario,"Prime Central Location For Medical / Related Professional Offices Directly Accross From Southlake Regional Health Centre * Public Transit At The Door * Available Immediately * All Utilities, Heat & A/C Included In The Additional Rent ** Elevator * Price Is """"As Is"""" * Landlord Will Negotiate Reno's / Build Out To Suit For Long Term Tenant ***",Office,1000,2016/7/18 2:29
RE/MAX HALLMARK YORK GROUP REALTY LTD.,For lease,44.059187,-79.461256,Newmarket,#200 - 30 PROSPECT ST Newmarket Ontario L3Y3S9 Canada,Ontario,"Prime Location For Medical / Related Professional Offices Directly Across From Southlake Regional Health Care *Public Transit At The Door* Available Immediately**All Utilities, Heat & A/C Included In The Additional Rent** 2 Locked Common Area Washroom Outside Unit Plus One Ensuite 2 Piece Washroom * Elevator * Former Dental Office * Landlord Will Negotiate Reno's / Build Out To Suit Long Term Tenant **",Office,1000,2016/7/18 1:25
RE/MAX HALLMARK REALTY LTD.,For sale,42.4792618,-71.1522765,Toronto,36 LEE CENTRE DR Toronto Ontario M1H3K2 Canada,Ontario,"Parking Spot Available For Sale - Oversized, Close To Elevator Prime Location...Buyers Must Be Resident Of 36 Or 38 Lee Center Drive... Maintenance Fee Is Approximately About 50.00 Per Month.",Single Family,10000,2016/8/29 20:32
RE/MAX HALLMARK REALTY LTD.,For sale,42.4792618,-71.1522765,Toronto,36 LEE CENTRE DR Toronto Ontario M1H3K2 Canada,Ontario,"****Parking Spot Only*** Oversized, Close To Elevator, Prime Location*** A Great Addition To Your Unit, Buyers Must Be A Resident Of 36 & 38 Lee Center Drive*** Maintenance Fee Is $53.40 Per Month. **** EXTRAS **** None",Single Family,10000,2016/9/3 14:57
RE/MAX HALLMARK YORK GROUP REALTY LTD.,For lease,44.059187,-79.461256,Newmarket,#300 - 30 PROSPECT ST Newmarket Ontario L3Y3S9 Canada,Ontario,"Prime Central Location For Medical / Related Professional Office Directly Across From Southlake Regional Health Centre * Public Transit At The Door * Available Immediately * All Utilities, Heat & A/C Included In The Additional Rent * Elevator * Move In Condition....Currently Set Up As Doctors Office / Lease Hold Improvments **** EXTRAS **** Current Tenant May Consider Selling Furniture / Equipment",Office,1000,2016/10/13 0:32
RE/MAX HALLMARK LIND GROUP REALTY LTD.,For sale,38.8549418,-77.0593246,Aurora,144 CRANBERRY LANE Aurora Ontario L4G5Z4 Canada,Ontario,"Picturesque Privacy 58' X 135' Pool-Szd Lot Backing To Protected Ravine In Sought After Highlands Enclave Of Executive Homes!A.B. Cairns Qlty Built & Upgraded Featuring Marley Tile Roof,Tumbled Stone Drive & Flagstone Wlkwy,Prof Lndscpd,Curb Appeal & Much More!Separate & Sunken Lr W/Plantation Shutters & Custom Cornice Mldngs!Formal Dr O/L Ravine!Big Ceramic Eat-In Kit W/Ss Appli & Solarium Eat-In Area O/L Ravine!Spac.Fam Rm W/Woodburning Fpl & W/O To **** EXTRAS **** Two Tiered Deck O/L Ravine!Mbr W/Overszd W/In & Invtng Ens!HwdOn Both Lvls!Large Secondary Bdrms Too!Bright,Spacious Opn Cncpt Prof Fin Lwr Lvl W/2nd Kit/Wet Bar,Huge Rec Rm,Games Room/Gym & R/I 3Pc W/In-Law Potential!",Single Family,1050888,2016/10/3 14:39
RE/MAX HALLMARK LIND GROUP REALTY LTD.,For sale,38.8549418,-77.0593246,Aurora,147 TIMBERLINE TR Aurora Ontario L4G5Z6 Canada,Ontario,"Aurora Highlands Beauty & Backs To Protected Greenspace On 67X124 Pool-Szd South Exp. Lot! Meticulously Maintained&Upgraded By Original Owners! Hwd Flrs! Entertaining-Szd Lr & Dr W/Fr Dr Entry! Big Ceramic Eat-In Kit W/Bi Appli W/Fam-Szd Solarium Eat-In Area W/W-O To O/S Custom Deck W/Spectacular Views! Spac.Fam Rm W/Custom Oak Trim&C/F Gas Fpl&Bright Picture Wdw O/L Scenic Greenspace! Lrg Bdrms!Master W/Inviting Marble Ensuite&Big W-In Closet! Updated Main **** EXTRAS **** Bath W/Skylite!Knockout Bright Prof Fin W/O Bsmt W/Inlaw Pot.Feat.5th Br Or Den,Huge Rec-Games Rm Combo W/Custom Wet Bar&C/F Stone Fpl&O/S 3Pc Ceramic Bath!Beautifully Lndscpd,Interlock Drive&Walkways.See Feature Sheet For Incl/Excl.",Single Family,1088888,2016/5/31 15:03
RE/MAX HALLMARK REALTY LTD.,For sale,43.6869346,-79.3550041,Toronto,261 FULTON AVE Toronto Ontario M4K1Y6 Canada,Ontario,"Fabulous Four Bedroom Detached Dwelling Just Steps To Pape Subway Station And The Danforth. Open Concept Design With Official Chefs Kitchen With 50"""" X 62"""" Centre Island And 48"""" Duel Fuel Range With 6 Burners, Jen Air Vent And Breakfast Bar. Hardwood Flooring Throughout, Updated Baths And Private Rear Yard Perfect For Entertaining. Walk Score 93 Close To Transit, Shops, Parks And Schools. A 905 Home In The City With Linen Closet, Pantry, And Garage. **** EXTRAS **** S/S 48"""" Dual Fuel Range, S/S Four Door Fridge, Jen Air Hood Fan, S/S Built In Dishwasher, Washer And Dryer On 2nd Level, Garage Door Opener, Elfs, Gas Burner And Equipment And CentralAir.",Single Family,1089000,2016/11/14 20:41
RE/MAX HALLMARK LIND GROUP REALTY LTD.,For sale,38.8549418,-77.0593246,Aurora,147 TIMBERLINE TR Aurora Ontario L4G5Z6 Canada,Ontario,"Aurora Highlands Beauty & Backs To Protected Greenspace On 67X124 Pool-Szd South Exp. Lot! Meticulously Maintained&Upgraded By Original Owners! Hwd Flrs! Entertaining-Szd Lr & Dr W/Fr Dr Entry! Big Ceramic Eat-In Kit W/Bi Appli W/Fam-Szd Solarium Eat-In Area W/W-O To O/S Custom Deck W/Spectacular Views! Spac.Fam Rm W/Custom Oak Trim&C/F Gas Fpl&Bright Picture Wdw O/L Scenic Greenspace! Lrg Bdrms!Master W/Inviting Marble Ensuite&Big W-In Closet! Updated Main **** EXTRAS **** Bath W/Skylite!Knockout Bright Prof Fin W/O Bsmt W/Inlaw Pot.Feat.5th Br Or Den,Huge Rec-Games Rm Combo W/Custom Wet Bar&C/F Stone Fpl&O/S 3Pc Ceramic Bath!Beautifully Lndscpd,Interlock Drive&Walkways.See Feature Sheet For Incl/Excl.",Single Family,1088888,2016/8/17 21:39
RE/MAX HALLMARK YORK GROUP REALTY LTD.,For sale,44.1010645,-79.4417811,East Gwillimbury,18033 NINTH LINE East Gwillimbury Ontario L0G1M0 Canada,Ontario,"Unique 'Canada Post And Beam' Home Just Mins To Newmarket, Mt. Albert And Major Commuting Arteries. Main Flr Offers Loads Of Windows Overlooking 2.03 Acres Of Stunning Grounds & Perennial Gardens. Open Concept Main Flr With Kitchen/Fam Rm/Dining Rm Area   Large Great Room W/ Cath Ceilings & Wood Burning Fireplace. Master On Second Level W/ Ensuite And Sep Office. Fin Bsmt W/ Large Entertainment Rm, Fireplace And 3rd Bdrm. Lg 2-Car Garage. Real Country Feel! **** EXTRAS **** Incl: Fridge, Stove, Dishwasher, Washer, Dryer, Water Softener, Garage Door Opener And 2 Remotes, All Elfs, All Fans, All Blinds & Window Coverings. *See Exclusions List Attachment.",Single Family,1099999,2016/7/18 1:12
RE/MAX HALLMARK REALTY LTD.,For rent,44.120221,-79.561908,Bradford West Gwillimbury,#Bsmt - 87 KULPIN AVE Bradford West Gwillimbury Ontario L3Z1T6 Canada,Ontario,"Newly One Year Old Renovated Legal Basement Apartment With Newer Appliances, Separate Entrance, Beautiful Settings, Nice Neighborhood. 2 Bedrooms Ans An Open Concept Kitchen And Living Room. 1 Parking Space. **** EXTRAS **** New Fridge, Stove, Range.",Single Family,13200,2016/6/14 1:30
RE/MAX HALLMARK YORK GROUP REALTY LTD.,For sale,38.8549418,-77.0593246,Aurora,69 MCCLENNY DR Aurora Ontario L4G5N6 Canada,Ontario,"One Of A Kind Stunner! Original Owner Has Orchestrated Amazing Top To Bottom Customization. Oversized Living Rm W/ Mouldings. Formal Dining Rm With Custom Built-In Shelving. Spacious Bright Kitchen Walks Out To Profess Landscaped Yard & Private Gazebo. Main Flr Fam Rm W/ Fireplace. 4 Large Bdrms. Brand New 5 Pc Ensuite & W/I Closet In Master. Finished Bsmt With Great Rm, Bdrm, Office And Interior Access To Garage. Upscale South Aurora Neighbourhood. **** EXTRAS **** Incl: Fridge, Stove, Dishwasher, Washer, Dryer, Central Vac & Equip, All Blinds & Window Coverings, Garage Door Opener & 2 Remotes, All Elfs, Gazebo In Yard, Chest Freezer. Excl: DrapesIn Master, Mirrors In Dining Room, Mud Rm, Foyer",Single Family,1099999,2016/9/20 22:01
RE/MAX HALLMARK REALTY LTD.,For rent,33.5726113,-84.4132594,Toronto,#Bsmt - 639 BROADVIEW AVE Toronto Ontario M4K2N9 Canada,Ontario,"Bright, One Bedroom Apartment With Above Grade Windows, Ensuite Laundry And Walkout To Backyard In A Charming Detached House Overlooking Riverdale Park. Perfect For A Young Professional! Steps Away From All The Great Shops, Restaurants And Bistros On The Danforth And Just Steps Away From Broadview Subway Or Streetcar At Your Door Step. **** EXTRAS **** Microwave, Fridge, Stove. Tenant Pays $50/Month For Heat.",Single Family,13200,2016/11/24 0:57
RE/MAX HALLMARK REALTY LTD.,For sale,33.5726113,-84.4132594,Toronto,47 LANGLEY AVE Toronto Ontario M4K1B4 Canada,Ontario,"Prime Riverdale, Renovated South Facing Duplex! Upper 2nd & 3rd Floor Is A 3 Bedroom Unit & Lower Main Floor & Basement Is A 2 Bedroom Unit. Large, Extra Wide ,Solid Brick 3 Storey That Can Be Easily Converted Into A Magnificent 5 Bedroom Single Family Home Or Great Investment Opportunity. Renovated Kitchens & Bathrooms, High Ceilings, Fireplace, Double Detached Garage, 3 Car Parking. Withrow School District. Light Filled Character Home! **** EXTRAS **** 2 Ss Fridges, 2 Ss Stoves, 2 Dishwashers, 2 Washers & Dryers, 2 Built-In Microwaves, Elfs, Window Coverings. **Showing Instructions- Lower Unit Vacant- Show Anytime. Upper Unit Tenanted- Can Show 9-6 Pm Daily, Anytime Weekends**",Single Family,1149000,2016/5/18 21:36
RE/MAX HALLMARK LIND GROUP REALTY LTD.,For sale,38.8549418,-77.0593246,Aurora,63 SISMAN AVE Aurora Ontario L4G6S2 Canada,Ontario,"Loaded W/Upgrades & Extras!9Ft Clngs!Hwd Strp Flrs!'Opn Cncpt' Flr Plan!Sep. Entertaining Szd Lr & Dr W/Coffered Clngs!'Gourmet' Updated & Upgraded Kit W/Granite Ctrs-Bi Ss Appli-Cstm Backsplash-Tasklites-Big Fam-Szd Bkfst Area W/W/O To O-S Cstm Deck&Oasis Backyard W/Hot Tub & Sensational Lndscpng!Spac.Opn Cncpt Fam Rm W/Cstm Bi Wall Unit&Fpl Surround,Potlites&Sundrenched Wdw!Lrg Secondary Bdrms!Mbr W/Organized W-In&Enticing 5Pc Ensuite! 2nd Flr Solarium Den! **** EXTRAS **** Knock-Out Prof Fin Bsmt W/Sep. Entrance Could Be In-Law Featuring L-Shaped Rec Rm W/Wet Bar,Custom Trim,Home Theatre Rm (Or 5th Bdrm)!Highly Sought-After Aurora Highlands LocationClose To Schools,Parks,Trails,Go,York Transit & Amenities!",Single Family,1158888,2016/5/31 14:58
RE/MAX HALLMARK YORK GROUP REALTY LTD.,For sale,43.950219,-79.456001,Richmond Hill,68 CORAL CRES Richmond Hill Ontario L4E4B5 Canada,Ontario,"Elegant Oak Ridges Executive Home Approx 2400 Sq Ft, Bright Southern Exposure,Corner Lot W/ Professionally Landscaped Grounds, Double Door Entry, Open Concept Living/Dining, Spacious Family Room W/ Chef Inspired Kitchen, Profess. Finished Basement With 2nd Kitchen And Bath, Double Door Master Bedroom, Generous Sized Principal Rooms, Newer Appliances, Desirable Fieldgate Home Layout Surrounded By Trails & Top Rated Schools, Impeccably Clean, See Tour **** EXTRAS **** Fridge (2) Stoves (2) Built In Microwave ( 2) Dishwashers (2) All Window Coverings, All Elf, Garage Door Opener & Remote, Cvac, A/C, Shutters Exclude: Dining Room Drapes, Basement Freezer, Multi Family Home",Single Family,1188000,2016/11/2 14:43
RE/MAX HALLMARK YORK GROUP REALTY LTD.,For sale,43.9705861,-79.2442842,Whitchurch-Stouffville,121 STEPHENSBROOK CIRC Whitchurch-Stouffville Ontario L4A0G5 Canada,Ontario,"Prestigious Whelers Mill Home Boasting Approx. 3500 Sq Ft On Almost 60 Ft Corner Lot, Across The Road From Trails & Ponds. Tucked Away From Busy Roads, South Facing And No Sidewalk, Each Room Is Oversized, Open Concept Living/Dining, The Kitchen Is A Chefs Dream W/ 6 Person Breakfast Bar Handcrafted In Quartz Stone & W/In Pantry, Double Sided Fireplace In Family Room, Dble Door Master W/ Sitting Room, 3 Full Baths On 2nd Flr, Original Owner, Super Clean! **** EXTRAS **** Fridge, Stive, Washer, Dryer, Dishwasher, Central Vac & Equipt. Garage Door Opener, All Window Covers, And All Elf's &No Sidewalk!! Closed Street No Traffic",Single Family,1188013,2016/10/3 0:34
RE/MAX HALLMARK YORK GROUP REALTY LTD.,For sale,43.9705861,-79.2442842,Whitchurch-Stouffville,33 GRICE ST Whitchurch-Stouffville Ontario L4A0V7 Canada,Ontario,"**Ravine Lot** Wheler's Mill Most Desirable Street! Approx 2700 Sqft Of Total Elegance, Pristine Landscaping Throughout, Walk Out From Living Room To Porch, Gleaming Hardwood, Open Concept Living/Dining, Oversized Kitchen W/ Two Pantry Built Ins, Island & Breakfast Bar Over Looking Family Room, Wrought Iron Pickets, 4 Bedroom W/ Option Of 5th, Trex Board Deck & Interlocking Overlooking Quiet Forested Area, Modern Decor & Paint Colours, Impeccably Clean! **** EXTRAS **** Stainless Steele Fridge, Built In Stove, Built In Oven, Built In Microwave, Built In Dishwasher, Washer, Dryer, All Elf, AllWindow Coverings, Garage Door Openers And Remotes, Cac, Excl. Master Bedroom Light Fixture",Single Family,1198000,2016/10/21 21:32
RE/MAX HALLMARK REALTY LTD.,For sale,43.950219,-79.456001,Richmond Hill,35 BOND CRES Richmond Hill Ontario L4E3K3 Canada,Ontario,"Beautiful Custom Built 4 Bdrm Family Home In High Demand Area Of R.Hill. Bright & Spacious Well Defined Rooms Modern Finishes Incl: Potlights, Crown Moulding, Hardwood Flooring, 9Ft Ceilings & 2 Gas Fireplaces. The Family Sized Eat In Kicthen Features Granite Countertops, Backsplash, High End S/S Appl & Breakfast Bar. The Breakfast Area Incl A Pantry & Walk Out To A Gorgeous Yard Complete W/ A Custom Pool! Perfectly Located Steps To Schools Parks And Transit **** EXTRAS **** See Schedule C For Comprehensive List On Home Details/FinishesAs Well As Inclusions/Exclusions List",Single Family,1198800,2016/6/1 6:26
RE/MAX HALLMARK REALTY LTD.,For sale,43.9339735,-79.4710219,Richmond Hill,79 SELLECK DR Richmond Hill Ontario  Canada,Ontario,"A Beautiful Family Home On A Very Desirable Street With Ep Land Front View And Golf Course, And Lots Of Upgrades:Granite Counter Tops, Custom Drapery, Fnshed Heated Garage, Marble Backsplash, Up-Graded Ext Stucco, Lutron Light Switches, Up-Graded Extended Cabinetry In Kit, Warming Drawer, 8 Ft Doors On Mn Level, Crown Moldngs, California Shutters Closet Organizers Throughout, Pot Lights Crown Molding Up And Downstrs. **** EXTRAS **** Professinally Finished Basement With Kitchen And 3 Pc Bathroom, High Ceiling And Entrance From The Garage. StainlessSteel Fridge, Stove, Dishwasher. Washer And Dryer",Single Family,1198800,2016/7/31 20:11
ROYAL LEPAGE YOUR COMMUNITY REALTY,For sale,43.6770252,-70.3711617,Richmond Hill,23 PAINTED ROCK AVE Richmond Hill Ontario L4S1R6 Canada,Ontario,"This Is The One! Stunning Family Home Built By Acorn. Located In Sought-After Westbrook Community. Shows Like A Model Home. Bright & Spacious. Modern Spiral Staircase. Gas Fireplace. Large Master With Ensuite. Hw Floors. Marble Counters. $$$ On Updates. Over 3,300 Sq Ft   1,588 Sq Ft Finished Basement. Solar Panels Generate Income! Top Richmond Hill School District. Close To Parks & Rec, Shopping, Transit, Amenities   More. Home Inspection Report Available **** EXTRAS **** 2 Fridges, Ss Stove, Ss Dw, Ss Hood Fan, Modern Lg Washer & Dryer. Elfs, Window Covers, Gdos, Furnace & Ac, Broadloom Where Laid, Wireless Security Sys, Garden Shed, Gas Bbq Hookup, Solar Panel Sys. R/I Cvac   R/I Basement Plumbing Kit/Bath",Single Family,1198800,2016/8/13 14:43
RE/MAX HALLMARK LIND GROUP REALTY LTD.,For sale,43.950219,-79.456001,Richmond Hill,40 WELLSPRING AVE Richmond Hill Ontario L4E4Z6 Canada,Ontario,"Wow-It's A Beauty!Bring Your In-Laws Too!Demand North Richmond Hill Quiet Child-Safe Crt Location!Stone&Brick!Soaring 9Ft Ceilings& Open Concept Plan!Hrdwd Strip Floors On Both Levels!Separate Formal Living&Dining Rms!Huge Gourmet Centre Island Kitchen W/Granite Cntrs,Custom Glass Splash,B-I Desk Area,Task&Pot Lighting,Crown Mldgs On Extended Maple Cabinets, Big Bkfst Bar&Fam-Sized Eat-In Area W/Dbl Gdn Door W/O To Oversized Custom Deck!Open Concept Family Rm **** EXTRAS **** W/Cozy Marble Fpl!Master W/Inviting Ensuite&Big W-In!2nd Big Bdrm W/Full Ensuite!Built-In Closet Organizers!Bright Prof.FinLower Level W/Sep.Entrance W/Massive Rec Rm-Kit-Den-3Pc Bath &Laundry! Great For Inlaw!",Single Family,1198888,2016/9/27 1:40
RE/MAX CITYWIDE REALTY INC.,For sale,42.3587999,-71.0707389,Ottawa,2041 ARROWSMITH DRIVE UNIT#401C Ottawa Ontario K1J7V7 Canada,Ontario,"PRICED TO SELL!! QUICK POSSESSION POSSIBLE. BRING US AN OFFER! This condo offers a lot of value for less than 120K! In the heart of Beacon Hill South, close to local bus routes, playground, schools and shopping plaza. This 2 bedroom, 1 bathroom top floor unit is located in a well maintained bullding with amenities such as, elevator, sauna, shared laundry room, outdoor pool, surface parking (#16) and storage locker (#66). Cook delicious meals with ease in your newly renovated kitchen (counters & cabinetry). The living room and dining room offers space to entertain and dine with family and friends. Great view of the exterior balcony. Plenty of natural light coming from all recently replaced windows. Allergy conscious? You'll enjoy the hardwood and tile flooring throughout the unit. The large master bedroom accommodates all styles of furniture, big or small. Lots of closets for your storage and organizational needs. If you're seriously looking for new home, check this one out",Single Family,119900,2016/8/21 1:15
RE/MAX HALLMARK YORK GROUP REALTY LTD.,For sale,44.00648,-79.450396,Aurora,142 TEMPERANCE ST Aurora Ontario L4G2R4 Canada,Ontario,"Fall In Love W/ This Completely Renovated (2012) Character Home In Olde-Aurora | Situated On A Spectacular Mature Lot W/ Inground Heated Pool | Your Summers Will Never Be The Same! | Exquisite Designer Kitchens & Bathrooms W/ All Of The Luxurious Finishes You Could Ask For | Quaint Sunroom That Leads To The Yard & Entertainment Deck | Finished Loft For Additional Space/ Bedroom | Must See!!! | **** EXTRAS **** Walk To Yonge Street & All Of It's Amenities | Includes: Stainless Steel Appliances (Fridge, 6 Burner Gas Stove, B/I Dishwasher, B/I Microwave) | All Existing Light Fixtures & Window Treatments | Ceiling Fan | Inground Pool & Accessories |",Single Family,1200000,2016/6/20 14:34
RE/MAX HALLMARK YORK GROUP REALTY LTD.,For sale,38.8549418,-77.0593246,Aurora,259 KENNEDY ST W Aurora Ontario L4G6S3 Canada,Ontario,"Bright And Elegant Family Home Located In Highly Sought After Aurora Highlands. Featuring A Grand Entrance With Soaring Cathedral Ceilings, Large Principle Rooms, Eat In Kitchen Overlooking Yard, Second Floor Laundry, Extensive Professional Landscaping And Many Upgrades Throughout. Brand New Roof. Furnace And Central Air Conditioner 2014. **** EXTRAS **** Includes All Elfs, All Window Coverings, Fridge, Stove, Dishwasher, Washer, Dryer, Cac, Garage Door Opener And Remotes, Owned Water Softener. Access To Public Transit, Walk To Schools And Parks.",Single Family,1248000,2016/12/4 19:46
RE/MAX HALLMARK YORK GROUP REALTY LTD.,For lease,44.00648,-79.450396,Aurora,#27 - 220 INDUSTRIAL PKWY S Aurora Ontario L4G3V6 Canada,Ontario,"Front Portion Only Of Industrial Condo Unit * Finished Office Space As Per Sketch * General Office / Reception / Private Office ** Gross Lease Including Tmi & Reasonable Utilities Use Heat, Ac & Electric *",Office,15000,2016/8/25 20:54
RE/MAX HALLMARK LIND GROUP REALTY LTD.,For sale,44.3417656,-79.542666,Innisfil,4178 5TH LINE Innisfil Ontario L9S3L6 Canada,Ontario,"Bring Your Business& Your In-Laws Home! Picturesque Privacy W/Paved Road Access To Your Door! Spac. Open Concept Full Brick Bungalow With Bright Prof Fin W/O Lower Level W/W-Up Grg Access & Walk-Out From Rec Rm! Home Features Open Concept Big Oak Eat-In Kit! Spac Lr-Dr Combo W/W-O To O/S Custom Deck W/Scenic Views Over Acreage!Main Flr Den & Extra 3Pc Bath!Bright Prof Fin Lower Level W/Rec Rm & 2 More Bdrms-Inlaw Potential! O/S Dbl Grg Drywalled & Heated! **** EXTRAS **** 35X80Ft Shop W/Power, 3 Drive-In Doors, Heated Storage Room&18Ft Clear Height! Loads Of Parking For Equipment Trailers & Trucks(Outside Storage) Roof Shingles 2015. 2nd Dwelling Possible On Property-See Zoning Attached.",Single Family,1248888,2016/11/4 1:13
RE/MAX HALLMARK LIND GROUP REALTY LTD.,For sale,44.3417656,-79.542666,Innisfil,4178 5TH LINE Innisfil Ontario L9S3L6 Canada,Ontario,"Bring Your Business&Your In-Laws Home! Picturesque Privacy W/Paved Road Access To Your Door! Spac. Open Concept Full Brick Bungalow With Bright Prof Fin W/O Lwr Lvl W/Walk-Up Grg Access & Walk-Out From Rec Rm!Home Features Open Concept Big Oak Eat-In Kit!Spac. Lr&Dr Combo W/Wo Ovrszd Custom Deck W/Scenic Views Over Acreage!Main Flr Den&Extra 3Pc Bath!Bright Prof Fin W/O Lwr Lvl W/Rec Rm & 4&5th Bdrms!In-Law Potential!O/S Dbl Grg Drywalled & **** EXTRAS **** Heated!35X80Ft Shop W/Pwr 3 Drive-In Drs,Heated Storage Rm&18Ft Clear Height!Loads Of Parking For Equipment Trailers&Trucks (Outside Storage)! Roof Shingles 2015. 2nd Dwelling Possible On Property-See Zoning Attached.",Vacant Land,1248888,2016/11/4 1:11
RE/MAX HALLMARK REALTY LTD.,For sale,-37.9932879,145.0761207,Toronto,31 SPRINGHURST AVE Toronto Ontario M6K1B1 Canada,Ontario,"A Rare Offering-This Modern Masterpiece Designed By The Award Winning Lga Architectural Partners Is The One You've Been Waiting For!Thoughtfully Designed & Custom-Crafted With The Highest Of Finishes & Attention To Every Detail.10 Ft Ceilings, Expansive Windows That Allow An Abundance Of Natural Light To Stream Through. A Custom Dream Kitchen With Top Of The Line Ss Appliances, Caesarstone Countertops & Centre Island With Breakfast Bar. Gorgeous Maple Floors& **** EXTRAS **** Multiple Skylights, Fireplace. 4 Luxury Baths. Near 3000Sf On 4 Levels. Professionally Landscaped Front & Back Gardens. Ticks All The Boxes! Ss Fridge, Gas Stove, Dishwasher, Front Load Washer & Dryer, All Custom Window Coverings, Gb&E,Cac.",Single Family,1249900,2016/5/11 22:09
RE/MAX HALLMARK LIND GROUP REALTY LTD.,For sale,38.8549418,-77.0593246,Aurora,147 TIMBERLINE TR Aurora Ontario L4G5Z6 Canada,Ontario,"Aurora Highlands Beauty & Backs To Protected Greenspace On 67X124 Pool-Szd Southern Exposed Lot! Meticulously Maintained&Upgraded By 1st Owner! Hwd Flrs! Entertaining-Szd Lr & Dr W/Fr Dr Entry! Big Ceramic Eat-In Kit W/Bi Appli & Fam-Szd Solarium Eat-In Area W/W-O To O/S Custom Deck W/Spectacular Views!Spac.Fam Rm W/Custon Oak Trim & C/F Gas Fpl & Bright Picture Wdw O/L Scenic Greenspace!Lrg Bdrms!Mstr W/Inviting Marble Ens & Big W/I Closet!Updated Main Bath **** EXTRAS **** W/Skylite!Knockout Bright Prof Fin W/O Lwr Lvl W/In-Law Potential Featuring 5th Bdrm Or Den, Huge Rec Rm-Games Rm Combo W/Custom Wet Bar & C/F Stone Fpl & O/S 3Pc Ceramic Bath!Beautifully Lndscpd,Interlock Drive & Walkways.",Single Family,1258888,2016/8/8 14:32
